support,user,created_at
no,IlMattinale,2016-12-01T18:00
no,forza_italia,2016-11-30T17:00
yes,ErasmoDAngelis,2016-11-29T18:00
no,iovotono,2016-12-02T06:00
no,social_5stars,2016-11-28T21:00
no,renatobrunetta,2016-11-28T20:00
no,social_5stars,2016-12-02T12:00
no,forza_italia,2016-11-29T10:00
no,gasparripdl,2016-12-01T00:00
yes,stefaniapezzopa,2016-12-02T00:00
no,lega_nord,2016-11-29T06:00
yes,AlessiaMorani,2016-11-28T14:00
no,NFratoianni,2016-11-29T18:00
no,forza_italia,2016-11-29T09:00
no,iovotono,2016-12-01T08:00
no,lega_nord,2016-12-02T12:00
no,lega_nord,2016-11-29T06:00
no,AlemannoTW,2016-11-29T12:00
yes,stefaniapezzopa,2016-11-30T21:00
yes,fnicodemo,2016-11-28T21:00
no,lega_nord,2016-11-29T06:00
no,iovotono,2016-12-01T17:00
yes,antgentile,2016-11-27T21:00
yes,danieledvpd,2016-11-29T23:00
no,iovotono,2016-11-29T21:00
no,social_5stars,2016-12-01T09:00
yes,VicoLudovico,2016-11-29T09:00
no,giulianocossari,2016-11-29T18:00
yes,fnicodemo,2016-12-01T22:00
no,renatobrunetta,2016-11-28T11:00
yes,Deputatipd,2016-12-02T12:00
yes,fabriziobarca,2016-11-30T00:00
no,lega_nord,2016-11-29T10:00
yes,MarcoMariani_IT,2016-12-01T15:00
no,forza_italia,2016-11-29T11:00
no,lega_nord,2016-11-29T10:00
no,NFratoianni,2016-11-29T18:00
yes,RaffaelePizzati,2016-12-01T15:00
no,senantoniorazzi,2016-11-29T21:00
no,LelloEsposito5,2016-11-29T21:00
yes,danieledvpd,2016-11-26T18:00
yes,AnnaAscani,2016-11-28T13:00
yes,AndreaOlivero,2016-11-27T17:00
no,iovotono,2016-12-02T06:00
no,FratellidItaIia,2016-11-30T20:00
no,LelloEsposito5,2016-11-26T21:00
no,LelloEsposito5,2016-11-27T11:00
yes,danielecina,2016-11-28T14:00
yes,fabriziobarca,2016-11-30T18:00
yes,fabriziobarca,2016-11-28T13:00
yes,AntoDiMario,2016-11-30T17:00
yes,danielecina,2016-11-28T15:00
no,renatobrunetta,2016-11-30T11:00
no,antonio_bordin,2016-11-29T23:00
no,MirkoBusto,2016-11-27T17:00
yes,antgentile,2016-11-27T22:00
yes,MarcoMariani_IT,2016-12-01T11:00
no,GruppoFICamera,2016-11-30T11:00
no,lega_nord,2016-12-01T20:00
no,lega_nord,2016-11-29T06:00
no,iovotono,2016-12-01T13:00
yes,danieledvpd,2016-12-01T15:00
no,senantoniorazzi,2016-11-27T23:00
no,lega_nord,2016-11-29T06:00
no,Ale_Mussolini_,2016-12-02T10:00
no,FratellidItaIia,2016-11-29T11:00
no,gasparripdl,2016-11-27T22:00
no,IlMattinale,2016-11-30T11:00
yes,ElisabScalambra,2016-12-01T15:00
no,forza_italia,2016-11-29T10:00
no,giulianocossari,2016-11-27T20:00
no,LegaNordPadania,2016-12-01T08:00
no,LegaNordPadania,2016-11-27T09:00
no,IlMattinale,2016-12-02T10:00
no,iovotono,2016-12-01T08:00
yes,danieledvpd,2016-12-01T20:00
yes,antgentile,2016-11-28T12:00
yes,danieledvpd,2016-11-26T18:00
no,renatobrunetta,2016-11-28T17:00
yes,CarloSantaroni,2016-11-29T10:00
no,LelloEsposito5,2016-11-27T13:00
no,micheleemiliano,2016-12-01T22:00
no,iovotono,2016-11-30T12:00
yes,Deputatipd,2016-11-28T12:00
yes,DarioNardella,2016-11-30T12:00
no,LegaNordPadania,2016-11-29T10:00
no,GruppoFICamera,2016-11-29T12:00
no,forza_italia,2016-11-28T14:00
no,vitopetrocelli,2016-12-01T08:00
yes,danieledvpd,2016-11-28T22:00
no,DeborahBergamin,2016-11-28T14:00
no,LegaNordPadania,2016-11-29T21:00
yes,ElisabScalambra,2016-12-02T06:00
no,RobertoMaroni_,2016-12-01T14:00
yes,CarloSantaroni,2016-12-01T18:00
yes,aureliomancuso,2016-12-02T10:00
no,TiziCip,2016-12-01T15:00
no,renatapolverini,2016-11-28T16:00
yes,danielecina,2016-11-29T18:00
yes,AntoDiMario,2016-11-30T17:00
yes,titti_disalvo,2016-12-01T16:00
yes,danielecina,2016-11-28T14:00
yes,danieledvpd,2016-11-29T20:00
yes,enrico_zanetti,2016-11-27T14:00
no,LelloEsposito5,2016-11-29T11:00
yes,SenatoriPD,2016-12-01T16:00
no,iovotono,2016-11-30T22:00
no,iovotono,2016-11-29T21:00
yes,danieledvpd,2016-11-26T18:00
yes,ErasmoDAngelis,2016-11-29T18:00
no,antoniopalmieri,2016-12-01T18:00
yes,SenatoriPD,2016-11-27T15:00
no,lauraravetto,2016-11-26T22:00
no,cla_cominardi,2016-12-01T14:00
no,iovotono,2016-11-30T22:00
no,forza_italia,2016-11-29T09:00
yes,AnnaLeonardi1,2016-11-30T11:00
no,antoniopalmieri,2016-12-01T17:00
no,AntoLari1986,2016-11-29T21:00
no,FratellidItaIia,2016-11-28T22:00
yes,MilaSpicola,2016-11-30T09:00
yes,AntonellaGramig,2016-11-29T09:00
no,GiuliaDiVita,2016-11-29T21:00
yes,lucianonobili,2016-11-29T09:00
no,iovotono,2016-12-01T13:00
no,lega_nord,2016-11-29T18:00
yes,danieledvpd,2016-11-26T18:00
no,matteosalvinimi,2016-12-01T23:00
yes,Giorgiolaporta,2016-11-28T21:00
no,TiziCip,2016-11-28T17:00
yes,danieledvpd,2016-12-01T20:00
yes,dariofrance,2016-12-02T12:00
yes,fabriziobarca,2016-11-29T15:00
yes,RaffaelePizzati,2016-11-29T03:00
yes,MilaSpicola,2016-11-27T17:00
yes,stefaniapezzopa,2016-11-30T01:00
yes,SenatoriPD,2016-12-01T16:00
no,lega_nord,2016-11-29T18:00
no,LegaNordPadania,2016-12-01T08:00
yes,PietroIchino,2016-12-01T08:00
yes,antgentile,2016-12-02T08:00
yes,ErasmoDAngelis,2016-11-28T11:00
no,forza_italia,2016-11-30T17:00
no,renatobrunetta,2016-11-29T18:00
yes,SenatoriPD,2016-11-29T12:00
no,IlMattinale,2016-12-01T12:00
yes,MilaSpicola,2016-12-01T16:00
no,GruppoFICamera,2016-12-01T12:00
yes,antgentile,2016-11-28T12:00
no,AlbertoAirola,2016-11-28T12:00
no,LelloEsposito5,2016-11-29T09:00
yes,danieledvpd,2016-12-02T06:00
no,Maxdero,2016-12-01T17:00
yes,AntonellaGramig,2016-12-02T10:00
yes,SenatoriPD,2016-11-30T17:00
yes,fabriziobarca,2016-11-27T09:00
no,Storace,2016-12-02T08:00
yes,maumartina,2016-11-28T20:00
yes,SenatoriPD,2016-11-27T15:00
yes,Deputatipd,2016-12-02T12:00
no,iovotono,2016-12-01T08:00
yes,sandrogozi,2016-11-26T19:00
no,gasparripdl,2016-11-28T01:00
yes,danieledvpd,2016-11-28T22:00
yes,danieledvpd,2016-11-29T21:00
no,renatapolverini,2016-11-28T17:00
yes,LiaQuartapelle,2016-11-29T12:00
no,PatriziaTerzoni,2016-11-28T19:00
no,GiorgiaMeloni,2016-11-30T17:00
no,MassimoLeaderPD,2016-11-29T13:00
yes,danieledvpd,2016-11-30T09:00
yes,AnnaLeonardi1,2016-11-27T14:00
no,vilmamoronese,2016-11-26T15:00
no,iovotono,2016-12-02T07:00
no,AlemannoTW,2016-11-29T11:00
no,GiovanniToti,2016-11-28T19:00
yes,enrico_zanetti,2016-11-27T14:00
yes,danieledvpd,2016-11-26T18:00
no,renatapolverini,2016-12-01T19:00
