user,kpp_score
Radicali,4859.0
DaniloMariano90,4859.0
lorenzodalai,4859.0
PD_Lombardia,4859.0
DiariodiAdamo,4859.0
CarloSantaroni,4859.0
Gogodemarchis,4859.0
RossMuroni,4859.0
s_margiotta,4859.0
borghi_claudio,4859.0
adilmauro,4859.0
GiuseppeLatorra,4859.0
lctr82,4859.0
GiulioSiamoNoi,4859.0
RaiPortaaPorta,4859.0
soemiade,4859.0
nzingaretti,4859.0
scelta_civica,4859.0
sysmedia68,4859.0
antoniomisiani,4859.0
TeresaBellanova,4859.0
eurodeputatipd,4859.0
NCD_tweet,4859.0
LuciaTassan,4859.0
lupecchioli,4859.0
DottorWatson,4859.0
immadibi,4859.0
PTambani,4859.0
AlbertoIonna,4859.0
emergenzavvf,4859.0
TittiGiorgi,4859.0
RaffaeleFitto,4859.0
AleRicci90,4859.0
l_patrizia,4859.0
smenichini,4859.0
jacopogiliberto,4859.0
simonaercolani,4859.0
melagrana24,4859.0
katnip74,4859.0
Ricore564,4859.0
lauralaposta,4859.0
emanuel_press,4859.0
VicinanzaL,4859.0
RiccardoLuna,4859.0
PD_ROMA,4859.0
RRivellini,4859.0
nmonesi,4859.0
milena131168,4859.0
francang1950,4859.0
AntonellaColoru,4859.0
Cortez1958,4859.0
ciafella,4859.0
YanezTweetMan,4859.0
FabioCapra3,4859.0
patriziaprestip,4859.0
PdMilano,4859.0
manuvegha,4859.0
donatobuc,4859.0
eunewsit,4859.0
stregastregonza,4859.0
poltronaggio,4859.0
BartLeo,4859.0
francescorusso,4859.0
michelemercuri,4859.0
Sissetta80,4859.0
quinta,4859.0
watchandwrite,4859.0
AndreaRomano9,4859.0
formichenews,4859.0
Capsicum__,4859.0
GabriellaGullac,4859.0
michelatini,4859.0
LAVonlus,4859.0
giovanna_dt,4859.0
MondoDemLab,4859.0
DorianaDori,4859.0
ParodiAl,4859.0
DavidErmini1,4859.0
senzasinistra,4859.0
JLTouadi,4859.0
miaudit,4859.0
Scorazzata,4859.0
itinagli,4859.0
Useppe01,4859.0
ylefsch,4859.0
vitoballarino,4859.0
PaganelliLino,4859.0
Viminale,4859.0
mohicani,4859.0
elenavilla3,4859.0
dadoricca,4859.0
fabio_moret,4859.0
MezzadridItalia,4859.0
DanielaDaffin,4859.0
pinocomparato,4859.0
MariaLatella,4859.0
AlessandroForn6,4859.0
Barbaga3Gaetano,4859.0
squopellediluna,4859.0
TGPorco,4859.0
AntonellaGramig,4859.0
_pierini_,4859.0
lucaM1966,4859.0
GattoBrina,4859.0
massimoricciut,4859.0
boccadutri,4859.0
Viceitaly,4859.0
crislomb,4859.0
ottogattotto,4859.0
RobertoTatankaa,4859.0
pietrodore69,4859.0
paolocaccamo68,4859.0
silviantrovato,4859.0
PaolaGigante62,4859.0
DaniSbrollini,4859.0
VicoLudovico,4859.0
FabrizioDelpret,4859.0
poetry1976,4859.0
italiachedicesi,4859.0
Oliverio_MarioG,4859.0
cristiana_viola,4859.0
Esercito,4859.0
24job,4859.0
FrancescaPontan,4859.0
luigidegennar,4859.0
SilviaTrovato,4859.0
sbonaccini,4859.0
italia_riparte,4859.0
aureliomancuso,4859.0
FedeFane,4859.0
Biagio960,4859.0
alelagattarossa,4859.0
mitgov,4859.0
telemaco31,4859.0
lucabruno18,4859.0
giorgiogaias92,4859.0
EspositoFilippo,4859.0
movittone,4859.0
rudi_de_fanti,4859.0
